uniprotId,GeneId
P37059,HSD17B2
P11712,CYP2C9
P43166,CA7
O43570,CA12
P67870,CSNK2B
P68400,CSNK2A1
P19784,CSNK2A2
Q8NEV1,CSNK2A3
P05177,CYP1A2
Q9NZ45,CISD1
P04798,CYP1A1
Q16678,CYP1B1
P14679,TYR
P27487,DPP4
P00533,EGFR
P35869,AHR
P28074,PSMB5
P18054,ALOX12
P12931,SRC
P35968,KDR
P08069,IGF1R
P30530,AXL
P00734,F2
P47989,XDH
Q9UNQ0,ABCG2
Q96GD4,AURKB
P11309,PIM1
P09917,ALOX5
P46063,RECQL
Q6W5P4,NPSR1
P06746,POLB
P08581,MET
P15121,AKR1B1
P07947,YES1
P16050,ALOX15
Q99714,HSD17B10
Q9UHH9,IP6K2
P04637,TP53
P36888,FLT3
P48736,PIK3CG
P06493,CDK1
Q9NPH5,NOX4
P11511,CYP19A1
P00918,CA2
P23280,CA6
Q9NUW8,TDP1
P22748,CA4
P02545,LMNA
Q10471,GALNT2
Q11130,FUT7
B2RXH2,KDM4E
P18089,ADRA2B
Q9UNA4,POLI
Q14576,ELAVL3
Q9HC97,GPR35
P0DMV8,HSPA1A
P27695,APEX1
Q9Y253,POLH
O60285,NUAK1
P15428,HPGD
P84022,SMAD3
Q02763,TEK
P06213,INSR
P51452,DUSP3
Q4U2R8,SLC22A6
P43351,RAD52
P00742,F10
