chemName,GeneId,action,chemId
lepirudin,F2,yes,CHEMBL1201666
cetuximab,EGFR,yes,CHEMBL1201577
cetuximab,FCGR3B,unknown,CHEMBL1201577
cetuximab,C1QA,unknown,CHEMBL1201577
cetuximab,C1QB,unknown,CHEMBL1201577
cetuximab,C1QC,unknown,CHEMBL1201577
cetuximab,FCGR3A,unknown,CHEMBL1201577
cetuximab,FCGR1A,unknown,CHEMBL1201577
cetuximab,FCGR2A,unknown,CHEMBL1201577
denileukin diftitox,IL2RA,yes,CHEMBL1201550
denileukin diftitox,IL2RB,yes,CHEMBL1201550
denileukin diftitox,IL2RG,unknown,CHEMBL1201550
etanercept,TNF,yes,CHEMBL1201572
etanercept,FCGR1A,unknown,CHEMBL1201572
etanercept,FCGR2A,unknown,CHEMBL1201572
etanercept,FCGR2B,unknown,CHEMBL1201572
etanercept,FCGR2C,unknown,CHEMBL1201572
etanercept,FCGR3A,unknown,CHEMBL1201572
etanercept,FCGR3B,unknown,CHEMBL1201572
etanercept,LTA,yes,CHEMBL1201572
etanercept,C1QC,unknown,CHEMBL1201572
bivalirudin,F2,yes,CHEMBL2103749
bivalirudin,MPO,unknown,CHEMBL2103749
leuprolide,GNRHR,yes,CHEMBL1201199
peginterferon alfa-2a,IFNAR2,yes,CHEMBL1201560
peginterferon alfa-2a,IFNAR1,yes,CHEMBL1201560
peginterferon alfa-2a,CYP1A2,unknown,CHEMBL1201560
alteplase,PLG,yes,CHEMBL1201593
alteplase,FGA,yes,CHEMBL1201593
alteplase,PLAUR,unknown,CHEMBL1201593
alteplase,SERPINE1,unknown,CHEMBL1201593
interferon alfa-n1,IFNAR1,yes,CHEMBL2108509
interferon alfa-n1,IFNAR2,yes,CHEMBL2108509
interferon alfa-n1,CYP1A2,unknown,CHEMBL2108509
darbepoetin alfa,EPOR,yes,CHEMBL1201566
urokinase,PLG,yes,CHEMBL1201420
urokinase,PLAUR,yes,CHEMBL1201420
urokinase,SERPINE1,yes,CHEMBL1201420
urokinase,SERPINB2,yes,CHEMBL1201420
urokinase,SERPINA5,unknown,CHEMBL1201420
urokinase,LRP2,unknown,CHEMBL1201420
urokinase,ST14,unknown,CHEMBL1201420
urokinase,NID1,unknown,CHEMBL1201420
urokinase,MMP12,unknown,CHEMBL1201420
goserelin,LHCGR,yes,CHEMBL1201247
goserelin,GNRHR,yes,CHEMBL1201247
reteplase,PLG,yes,CHEMBL2107885
reteplase,FGA,yes,CHEMBL2107885
reteplase,SERPINE1,unknown,CHEMBL2107885
interferon alfa-n3,IFNAR1,yes,CHEMBL2109047
interferon alfa-n3,IFNAR2,yes,CHEMBL2109047
interferon alfa-n3,CYP1A2,unknown,CHEMBL2109047
pegfilgrastim,CSF3R,yes,CHEMBL1201568
pegfilgrastim,ELANE,no,CHEMBL1201568
sargramostim,CSF2RA,yes,CHEMBL1201670
sargramostim,IL3RA,yes,CHEMBL1201670
sargramostim,CSF2RB,yes,CHEMBL1201670
sargramostim,SDC2,unknown,CHEMBL1201670
sargramostim,PRG2,unknown,CHEMBL1201670
peginterferon alfa-2b,IFNAR1,yes,CHEMBL1201561
peginterferon alfa-2b,IFNAR2,yes,CHEMBL1201561
peginterferon alfa-2b,CYP1A2,unknown,CHEMBL1201561
peginterferon alfa-2b,CYP2D6,unknown,CHEMBL1201561
peginterferon alfa-2b,CYP2C9,unknown,CHEMBL1201561
thyrotropin alfa,TSHR,yes,CHEMBL1201533
"antihemophilic factor, human recombinant",F10,yes,CHEMBL4297873
