GeneId,hallmark
AAK1,Altered intercellular communications
ABL1,Genomic instability
ADAM17,Altered intercellular communications
ADAMTS14,Extracellular matrix stiffness
AKT1,Altered intercellular communications
AKT1,Cellular senescence
AKT1,Deregulated nutrient signaling
AKT1,Epigenetic shift
AKT1,Extracellular matrix stiffness
AKT1,Genomic instability
AKT1,Impaired proteostasis
AKT1,Inflammation
AKT1,Mitochondrial dysfunction
AKT1,Retrotranspositions
AKT1,Stem cell exhaustion
AKT1,Telomere attrition
AR,Cellular senescence
AR,Inflammation
ARL2,Mitochondrial dysfunction
ATAD3B,Mitochondrial dysfunction
BLK,Deregulated nutrient signaling
BMP2,Stem cell exhaustion
BRCC3,Inflammation
BRCC3,Retrotranspositions
CASP1,Genomic instability
CASP1,Inflammation
CASP3,Extracellular matrix stiffness
CASP3,Genomic instability
CASP3,Inflammation
CASP8,Genomic instability
CASP8,Inflammation
CASP8,Retrotranspositions
CAT,Genomic instability
CD36,Deregulated nutrient signaling
CD36,Inflammation
CDC34,Impaired proteostasis
CHD9,Altered intercellular communications
CHUK,Cellular senescence
CHUK,Extracellular matrix stiffness
CHUK,Genomic instability
CLEC5A,Inflammation
CLEC5A,Retrotranspositions
CNOT6L,Cellular senescence
CNOT6L,Genomic instability
CSNK1A1,Genomic instability
CSNK1A1,Inflammation
CXCL12,Inflammation
CXCL12,Stem cell exhaustion
CXCR4,Inflammation
CXCR4,Retrotranspositions
CXCR4,Stem cell exhaustion
DDX17,Inflammation
DDX17,Retrotranspositions
DDX21,Telomere attrition
DNMT1,Epigenetic shift
DNMT1,Extracellular matrix stiffness
DNMT1,Genomic instability
DNMT1,Inflammation
DNMT1,Retrotranspositions
DNMT1,Stem cell exhaustion
DNMT1,Telomere attrition
DUSP3,Cellular senescence
DUSP3,Genomic instability
EGFR,Cellular senescence
EGFR,Deregulated nutrient signaling
EGFR,Extracellular matrix stiffness
EGFR,Genomic instability
EGFR,Impaired proteostasis
EGFR,Inflammation
EGLN1,Altered intercellular communications
EGLN1,Cellular senescence
EGLN1,Inflammation
EGLN1,Stem cell exhaustion
EP300,Cellular senescence
EP300,Genomic instability
EP300,Epigenetic shift
EP300,Stem cell exhaustion
ESR1,Genomic instability
EZH2,Cellular senescence
EZH2,Epigenetic shift
EZH2,Inflammation
FAM20C,Extracellular matrix stiffness
FGF2,Deregulated nutrient signaling
FGF2,Extracellular matrix stiffness
FGF2,Stem cell exhaustion
FZD8,Altered intercellular communications
GAK,Impaired proteostasis
GAK,Mitochondrial dysfunction
GALNT1,Extracellular matrix stiffness
GSK3B,Altered intercellular communications
GSK3B,Stem cell exhaustion
HCK,Inflammation
HCK,Retrotranspositions
HDAC1,Epigenetic shift
HDAC1,Genomic instability
HDAC6,Cellular senescence
HDAC9,Epigenetic shift
HGF,Altered intercellular communications
HGF,Cellular senescence
HGF,Deregulated nutrient signaling
HGF,Extracellular matrix stiffness
HGF,Genomic instability
HGF,Impaired proteostasis
HGF,Inflammation
HGF,Mitochondrial dysfunction
HGF,Stem cell exhaustion
HSPA5,Impaired proteostasis
HSPA5,Mitochondrial dysfunction
IGF1,Altered intercellular communications
IGF1,Cellular senescence
IGF1,Deregulated nutrient signaling
IGF1,Epigenetic shift
IGF1,Extracellular matrix stiffness
IGF1,Genomic instability
IGF1,Impaired proteostasis
IGF1,Inflammation
IGF1,Mitochondrial dysfunction
IGF1,Retrotranspositions
IGF1,Stem cell exhaustion
IGF1,Telomere attrition
IGF1R,Deregulated nutrient signaling
IGF1R,Genomic instability
IGF1R,Inflammation
IGF1R,Mitochondrial dysfunction
IGF1R,Retrotranspositions
IGF1R,Stem cell exhaustion
IGF2,Deregulated nutrient signaling
IGF2,Stem cell exhaustion
IKBKB,Cellular senescence
